id,subconjunto,question_type,medical_task,body_system,chars,words,chars_full,words_full,tok_cl100k,tok_cl100k_full,tok_qwen,tok_qwen_full
MM-0,MM,Reasoning,Treatment,Skeletal,623,93,809,118,128,172,129,173
MM-1,MM,Reasoning,Basic Science,Reproductive,210,32,266,42,51,75,51,75
MM-2,MM,Reasoning,Diagnosis,Cardiovascular,1308,184,1565,219,354,425,373,444
MM-3,MM,Reasoning,Treatment,Skeletal,782,113,1150,169,153,227,154,228
MM-4,MM,Reasoning,Diagnosis,Reproductive,238,36,387,57,65,112,65,112
MM-5,MM,Reasoning,Basic Science,Muscular,311,49,406,65,79,117,79,117
MM-6,MM,Reasoning,Diagnosis,Skeletal,295,38,398,50,77,118,78,119
MM-7,MM,Reasoning,Diagnosis,Skeletal,440,77,500,92,102,127,103,128
MM-8,MM,Reasoning,Diagnosis,Cardiovascular,820,125,929,140,195,230,203,238
MM-9,MM,Understanding,Diagnosis,Lymphatic,277,41,370,54,67,101,67,101
MM-10,MM,Understanding,Basic Science,Skeletal,199,32,316,52,60,105,60,105
MM-11,MM,Reasoning,Diagnosis,Skeletal,280,38,422,58,73,118,73,118
MM-12,MM,Understanding,Basic Science,Lymphatic,548,91,781,136,114,171,114,171
MM-13,MM,Reasoning,Treatment,Skeletal,775,123,1173,185,167,257,169,260
MM-14,MM,Reasoning,Diagnosis,Cardiovascular,679,98,793,115,146,181,147,182
MM-15,MM,Reasoning,Basic Science,Nervous,357,55,467,72,86,124,86,124
MM-16,MM,Understanding,Diagnosis,Other / NA,141,20,239,34,45,82,45,82
MM-17,MM,Understanding,Diagnosis,Digestive,207,29,323,45,63,110,63,110
MM-18,MM,Understanding,Diagnosis,Lymphatic,573,96,633,111,133,158,136,161
MM-19,MM,Reasoning,Diagnosis,Cardiovascular,580,83,703,100,124,160,125,161
MM-20,MM,Reasoning,Diagnosis,Skeletal,920,128,1027,141,200,239,200,239
MM-21,MM,Reasoning,Basic Science,Urinary,769,113,794,123,168,188,171,191
MM-22,MM,Reasoning,Diagnosis,Cardiovascular,801,122,1140,175,191,290,192,291
MM-23,MM,Reasoning,Treatment,Skeletal,534,80,737,109,113,165,114,166
MM-24,MM,Reasoning,Treatment,Skeletal,838,123,994,145,186,228,194,236
MM-25,MM,Reasoning,Diagnosis,Nervous,828,139,853,149,199,219,207,227
MM-26,MM,Reasoning,Diagnosis,Lymphatic,455,65,572,83,108,154,109,155
MM-27,MM,Understanding,Basic Science,Lymphatic,694,108,1082,170,139,222,139,222
MM-28,MM,Reasoning,Basic Science,Cardiovascular,1036,169,1061,179,245,265,255,275
MM-29,MM,Reasoning,Diagnosis,Other / NA,1090,145,1334,177,264,344,275,354
MM-30,MM,Reasoning,Diagnosis,Respiratory,313,52,414,68,82,119,83,120
MM-31,MM,Reasoning,Diagnosis,Nervous,238,34,362,51,66,108,66,108
MM-32,MM,Reasoning,Diagnosis,Endocrine,723,97,795,107,188,224,196,232
MM-33,MM,Reasoning,Treatment,Muscular,532,87,640,103,113,141,114,142
MM-34,MM,Reasoning,Diagnosis,Nervous,399,59,544,78,104,152,105,153
MM-35,MM,Reasoning,Treatment,Muscular,891,149,1196,213,187,266,188,267
MM-36,MM,Reasoning,Treatment,Skeletal,607,105,810,138,141,195,142,196
MM-37,MM,Reasoning,Diagnosis,Cardiovascular,617,86,860,120,134,200,135,201
MM-38,MM,Reasoning,Diagnosis,Urinary,1477,242,1636,263,403,450,423,470
MM-39,MM,Reasoning,Basic Science,Respiratory,842,120,955,133,197,233,208,244
MM-40,MM,Reasoning,Diagnosis,Digestive,544,71,671,88,130,174,131,175
MM-41,MM,Reasoning,Diagnosis,Digestive,158,20,273,34,52,96,52,96
MM-42,MM,Reasoning,Treatment,Skeletal,903,148,1142,192,190,253,191,254
MM-43,MM,Understanding,Diagnosis,Skeletal,836,119,1342,193,170,270,171,271
MM-44,MM,Reasoning,Diagnosis,Nervous,238,39,298,54,59,84,59,84
MM-45,MM,Understanding,Diagnosis,Skeletal,401,62,526,82,88,125,89,126
MM-46,MM,Understanding,Basic Science,Cardiovascular,611,90,1114,164,144,267,144,267
MM-47,MM,Reasoning,Diagnosis,Cardiovascular,385,42,647,67,116,209,116,209
MM-48,MM,Understanding,Diagnosis,Integumentary,520,75,645,92,135,185,136,186
MM-49,MM,Understanding,Diagnosis,Skeletal,170,22,297,38,50,92,50,92
MM-50,MM,Reasoning,Diagnosis,Endocrine,1096,169,1141,184,249,274,258,283
MM-51,MM,Reasoning,Basic Science,Nervous,776,122,826,132,169,205,185,235
MM-52,MM,Understanding,Diagnosis,Skeletal,355,56,579,91,92,157,93,158
MM-53,MM,Reasoning,Basic Science,Endocrine,797,126,822,136,182,202,190,210
MM-54,MM,Understanding,Diagnosis,Integumentary,635,96,767,115,125,158,126,159
MM-55,MM,Understanding,Basic Science,Cardiovascular,317,47,478,73,84,136,85,137
MM-56,MM,Understanding,Diagnosis,Respiratory,228,29,341,42,58,97,58,97
MM-57,MM,Reasoning,Diagnosis,Respiratory,271,35,415,53,68,113,68,113
MM-58,MM,Reasoning,Treatment,Skeletal,359,57,540,86,79,119,80,120
MM-59,MM,Reasoning,Treatment,Reproductive,1023,162,1143,178,244,279,255,290
MM-60,MM,Reasoning,Treatment,Integumentary,1013,163,1120,176,247,297,259,309
MM-61,MM,Reasoning,Treatment,Respiratory,827,120,939,135,184,211,192,219
MM-62,MM,Understanding,Diagnosis,Integumentary,852,132,996,149,203,256,211,264
MM-63,MM,Reasoning,Diagnosis,Digestive,511,87,549,97,140,169,147,180
MM-64,MM,Reasoning,Treatment,Reproductive,852,125,950,139,197,228,207,238
MM-65,MM,Reasoning,Diagnosis,Endocrine,1631,257,1767,272,486,533,516,563
MM-66,MM,Reasoning,Treatment,Lymphatic,671,103,742,113,163,190,171,198
MM-67,MM,Understanding,Diagnosis,Skeletal,155,21,244,33,48,85,48,85
MM-68,MM,Reasoning,Diagnosis,Nervous,652,102,868,137,127,177,128,178
MM-69,MM,Reasoning,Diagnosis,Cardiovascular,1160,192,1260,206,381,421,404,444
MM-70,MM,Reasoning,Diagnosis,Cardiovascular,963,139,1090,154,232,276,246,290
MM-71,MM,Understanding,Diagnosis,Integumentary,238,35,321,48,68,107,68,107
MM-72,MM,Reasoning,Diagnosis,Nervous,291,46,463,73,71,120,71,120
MM-73,MM,Reasoning,Treatment,Skeletal,920,147,1274,202,216,307,222,313
MM-74,MM,Understanding,Diagnosis,Digestive,163,24,233,35,47,78,47,78
MM-75,MM,Reasoning,Treatment,Integumentary,645,95,751,110,152,189,161,198
MM-76,MM,Reasoning,Treatment,Skeletal,470,65,637,86,104,154,105,155
MM-77,MM,Reasoning,Treatment,Skeletal,701,104,857,129,157,196,162,201
MM-78,MM,Reasoning,Diagnosis,Reproductive,141,20,227,32,44,78,44,78
MM-79,MM,Reasoning,Diagnosis,Skeletal,965,148,1217,190,210,274,213,277
MM-80,MM,Understanding,Diagnosis,Reproductive,212,29,335,45,61,105,61,105
MM-81,MM,Understanding,Basic Science,Lymphatic,1271,197,1503,228,295,360,303,368
MM-82,MM,Reasoning,Treatment,Cardiovascular,891,146,996,159,217,252,226,261
MM-83,MM,Reasoning,Diagnosis,Cardiovascular,967,140,1210,172,223,284,235,296
