qid,file,body_system,question_type,medical_task,format,mode,width,height,area_px,aspect,filesize,is_gray,md5,phash
MM-0,MM-0-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,L,713,735,524055,0.9701,16233,True,49f50bc30825ce6c20947e9b10833ec6,9cb3674c58cb31a5
MM-0,MM-0-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,1500,1284,1926000,1.1682,90021,True,8bc36941326b707d52223ad566a3eec1,92b625c94a7ec879
MM-1,MM-1-a.png,Reproductive,Reasoning,Basic Science,PNG,RGB,149,382,56918,0.3901,49022,True,5ee5d4b2e2824e0ee0be061713aef227,d4ff7a94c44032c7
MM-1,MM-1-b.png,Reproductive,Reasoning,Basic Science,PNG,RGB,158,381,60198,0.4147,44171,True,a8df7004eeaaae374873fb79977c4134,c2e93d3696890be6
MM-2,MM-2-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,373,278,103694,1.3417,14196,False,da3cd38c8ab2884644d210311e107b25,bb51d66c0dcacc23
MM-3,MM-3-a.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,400,372,148800,1.0753,130591,True,60fcfa5c692cd92cc2ccefb05311f176,815e69e1d6975a61
MM-4,MM-4-a.jpeg,Reproductive,Reasoning,Diagnosis,JPEG,RGB,466,466,217156,1.0,33427,True,6dbe5e4bb77d9c82f753dbc58d645150,954b4ab16b713dc2
MM-5,MM-5-a.jpeg,Muscular,Reasoning,Basic Science,JPEG,RGB,450,450,202500,1.0,15252,True,a5d3ab27f50c4025c7335f4c6345d2e0,954a7aa4639966d3
MM-6,MM-6-a.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,256,500,128000,0.512,91835,True,242322aceee0f77feaf85f07d1b3959e,c80fe5926cc117f9
MM-7,MM-7-a.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,600,450,270000,1.3333,246080,True,9a913a4de85f6252d3e00cb3729ef631,c38fbcd99cd08cb0
MM-7,MM-7-b.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,597,450,268650,1.3267,759863,False,c0ec29c6a339686b6adcaf137a9e8e7c,cf6de034e9d224d1
MM-7,MM-7-c.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,568,450,255600,1.2622,772335,False,f7ea6a7b734e864cbfd482e99ca6278e,ac94bdceb56c9094
MM-7,MM-7-d.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,600,450,270000,1.3333,643522,False,2f842e2136e880ff931fe77f5d6e80b9,c5e0781f04fc5fa2
MM-7,MM-7-e.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,597,450,268650,1.3267,810500,False,f0f4226da35916008758ad043135bd70,d7b83d0ec888c8db
MM-7,MM-7-f.jpeg,Skeletal,Reasoning,Diagnosis,PNG,RGBA,600,450,270000,1.3333,786330,False,c2c0be72760e0d1ec344afe52c1a9472,d57a640d1ae107be
MM-8,MM-8-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,640,368,235520,1.7391,17190,False,b68a97ea84cd148042da2bfc327e2752,aad2d5ab96059935
MM-9,MM-9-a.jpeg,Lymphatic,Understanding,Diagnosis,JPEG,RGB,1500,921,1381500,1.6287,590714,False,e1e9c35078307f9731f6d6dbf806ddc2,9a65e990c196e79a
MM-10,MM-10-a.png,Skeletal,Understanding,Basic Science,PNG,RGB,418,540,225720,0.7741,369708,True,68a642bb7a413bfb88a6d213c844dae8,8cca3d376c2e0dc6
MM-11,MM-11-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,562,330,185460,1.703,22194,True,47b7d991dbc2ba6cb64a25fff04af51b,a0b85eeb6d652466
MM-11,MM-11-b.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,657,455,298935,1.444,56690,True,e1956755477d9124f72a4e8c60330738,f0854fba40e75da8
MM-11,MM-11-c.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,427,674,287798,0.6335,23080,True,87d9ec870092f7b111607a5e42ec9c1c,ca3d1ce139ce30b3
MM-11,MM-11-d.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,300,578,173400,0.519,19036,False,504019488b19376527d20b0e8025e5b1,9487073c7ef48d19
MM-11,MM-11-e.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,533,581,309673,0.9174,19854,True,3b000df5d58d6c53b5b2cc76bdf76dd6,b2e5edd34ca349a0
MM-12,MM-12-a.png,Lymphatic,Understanding,Basic Science,PNG,RGB,1023,354,362142,2.8898,70867,True,4c85d670849d6eaef53334a28f14fb46,e49bcc649133cccb
